6YT0K4MV,483256176,624260780,,"BRCODE,PRESRT,WEIGHT",,Post Office Boring OR 97009-9009,Post Office Boring OR 97009-9009,08/08/2024,08/08/2024,"MAILSPLIT / ACCENT VERTICALS, INC.",,1086265,PI 8,SM,520,195,FIN,400944,0,true
PW IMsb,482072874,622886906,,,,"SAN JOSE, CA, 95101-7024","SAN JOSE, CA, 95101-7024",07/30/2024,07/30/2024,"From IMSB / ABC PRINTING, INC.",,2543808,PI 1476,SM,691,274.23,FIN,056834,0,true
